# Strom [A] ; Magnetfeld [mT]
# 
0.08;4
0.08;4
0.08;4
0.08;4
0.08;4
0.08;4
0.08;4
0.08;4
0.08;4
0.08;4
-0.80;-70
-1.39;-120
-1.39;-120
-1.55;-134
-1.55;-134
-1.92;-165
-1.92;-165
-2.61;-224
-2.61;-224
-3.20;-277
-3.20;-277
-3.44;-298
-3.44;-298
-4.16;-359
-4.16;-359
-4.71;-402
-4.71;-402
-5.40;-453
-5.40;-453
-6.00;-488
-6.00;-488
-6.79;-525
-6.79;-525
-7.33;-544
-7.33;-544
-8.64;-583
-8.64;-583
-9.04;-592
-9.04;-592
-9.04;-592
-9.05;-593
-9.05;-593
-9.06;-592
-9.06;-592
-9.06;-592
0.07;3
0.07;3
0.07;3
0.07;3
1.14;100
1.14;100
2.59;237
2.59;237
3.94;353
3.94;353
4.78;424
4.78;424
5.49;484
5.49;484
6.17;525
6.17;525
7.33;575
7.33;575
7.33;575
8.06;602
8.06;602
8.57;617
8.57;617
9.02;629
9.02;629
9.09;632
9.09;632
9.11;632
9.11;632
9.10;632
9.10;632
9.10;631
