# Strom: -4.74 A
# Magnetfeld: -406 mT
# Schnitt bei (681,462)
# Mittelung: 1 Pixel
# Magnetfeldsensor kalibriertPixel ; Red Value
1;983
2;941
3;899
4;867
5;836
6;819
7;803
8;837
9;871
10;876
11;881
12;893
13;904
14;951
15;997
16;1065
17;1132
18;1286
19;1441
20;1632
21;1824
22;2020
23;2216
24;2250
25;2285
26;2245
27;2206
28;2121
29;2037
30;2001
31;1964
32;1980
33;1997
34;2087
35;2177
36;2388
37;2598
38;2947
39;3296
40;3481
41;3666
42;3559
43;3452
44;3214
45;2975
46;2715
47;2454
48;2286
49;2118
50;2021
51;1924
52;1955
53;1985
54;2102
55;2219
56;2357
57;2494
58;2514
59;2534
60;2422
61;2310
62;2118
63;1927
64;1696
65;1465
66;1350
67;1236
68;1145
69;1055
70;979
71;904
72;884
73;865
74;842
75;819
76;812
77;805
78;792
79;780
80;786
81;793
82;799
83;805
84;818
85;831
86;880
87;929
88;988
89;1048
90;1136
91;1225
92;1367
93;1510
94;1668
95;1827
96;1980
97;2133
98;2188
99;2243
100;2195
101;2148
102;2070
103;1993
104;1960
105;1928
106;1902
107;1876
108;1869
109;1862
110;1932
111;2002
112;2148
113;2294
114;2585
115;2876
116;3113
117;3350
118;3540
119;3731
120;3674
121;3616
122;3421
123;3227
124;2941
125;2656
126;2505
127;2354
128;2202
129;2050
130;2006
131;1963
132;1956
133;1948
134;2034
135;2121
136;2268
137;2415
138;2524
139;2633
140;2657
141;2681
142;2608
143;2535
144;2351
145;2167
146;1980
147;1794
148;1666
149;1537
150;1403
151;1269
152;1199
153;1129
154;1084
155;1039
156;1003
157;968
158;934
159;900
160;896
161;892
162;879
163;866
164;849
165;833
166;845
167;857
168;838
169;819
170;838
171;857
172;861
173;866
174;890
175;915
176;954
177;993
178;1008
179;1024
180;1091
181;1158
182;1244
183;1331
184;1438
185;1546
186;1694
187;1842
188;1987
189;2133
190;2224
191;2315
192;2330
193;2346
194;2364
195;2383
196;2310
197;2238
198;2206
199;2174
200;2106
201;2039
202;2013
203;1988
204;1940
205;1893
206;1953
207;2013
208;2055
209;2098
210;2155
211;2212
212;2336
213;2461
214;2671
215;2882
216;3086
217;3290
218;3462
219;3634
220;3734
221;3834
222;3766
223;3699
224;3594
225;3490
226;3330
227;3171
228;3003
229;2835
230;2659
231;2483
232;2381
233;2278
234;2177
235;2076
236;2002
237;1929
238;1887
239;1846
240;1873
241;1900
242;1879
243;1859
244;1969
245;2080
246;2167
247;2254
248;2359
249;2465
250;2549
251;2633
252;2633
253;2633
254;2614
255;2595
256;2474
257;2354
258;2273
259;2193
260;2088
261;1983
262;1820
263;1657
264;1598
265;1539
266;1440
267;1342
268;1279
269;1215
270;1181
271;1146
272;1102
273;1058
274;1027
275;997
276;978
277;960
278;936
279;912
280;887
281;861
282;849
283;836
284;835
285;833
286;824
287;815
288;802
289;789
290;795
291;800
292;797
293;795
294;797
295;799
296;791
297;784
298;797
299;811
300;802
301;793
302;810
303;828
304;834
305;840
306;836
307;832
308;842
309;851
310;868
311;886
312;907
313;929
314;926
315;924
316;964
317;1004
318;1012
319;1021
320;1048
321;1076
322;1113
323;1150
324;1194
325;1239
326;1262
327;1286
328;1344
329;1402
330;1431
331;1460
332;1534
333;1608
334;1675
335;1742
336;1833
337;1923
338;1977
339;2032
340;2089
341;2147
342;2215
343;2283
344;2322
345;2361
346;2349
347;2337
348;2368
349;2399
350;2433
351;2467
352;2429
353;2392
354;2384
355;2377
356;2371
357;2365
358;2347
359;2330
360;2293
361;2256
362;2229
363;2202
364;2161
365;2121
366;2139
367;2158
368;2131
369;2105
370;2102
371;2099
372;2051
373;2003
374;2001
375;1999
376;1991
377;1983
378;1962
379;1941
380;1941
381;1940
382;1922
383;1903
384;1921
385;1939
386;1934
387;1929
388;1921
389;1914
390;1934
391;1954
392;1953
393;1952
394;1946
395;1940
396;1954
397;1969
398;2006
399;2043
400;2029
401;2015
402;2016
403;2018
404;2047
405;2076
406;2080
407;2084
408;2110
409;2136
410;2166
411;2197
412;2207
413;2217
414;2237
415;2257
416;2272
417;2287
418;2310
419;2332
420;2375
421;2419
422;2432
423;2445
424;2467
425;2488
426;2529
427;2570
428;2581
429;2592
430;2603
431;2614
432;2686
433;2758
434;2751
435;2745
436;2767
437;2790
438;2828
439;2866
440;2916
441;2966
442;2958
443;2950
444;2977
445;3005
446;2998
447;2991
448;3012
449;3033
450;3060
451;3087
452;3092
453;3098
454;3107
455;3116
456;3106
457;3097
458;3081
459;3065
460;3117
461;3169
462;3152
463;3135
464;3145
465;3156
466;3131
467;3106
468;3115
469;3125
470;3106
471;3088
472;3090
473;3092
474;3055
475;3017
476;3014
477;3010
478;2972
479;2934
480;2960
481;2986
482;2934
483;2882
484;2888
485;2894
486;2874
487;2854
488;2834
489;2814
490;2766
491;2718
492;2687
493;2656
494;2645
495;2635
496;2606
497;2578
498;2562
499;2546
500;2510
501;2475
502;2464
503;2453
