# Strom: -6.86 A
# Magnetfeld: -532 mT
# Schnitt bei (681,462)
# Mittelung: 1 Pixel
# Magnetfeldsensor kalibriertPixel ; Red Value
1;1501
2;1355
3;1210
4;1154
5;1099
6;1050
7;1001
8;1014
9;1027
10;1075
11;1123
12;1206
13;1289
14;1443
15;1598
16;1760
17;1923
18;2039
19;2155
20;2139
21;2124
22;1991
23;1858
24;1808
25;1758
26;1692
27;1626
28;1589
29;1553
30;1553
31;1553
32;1582
33;1610
34;1765
35;1921
36;2153
37;2386
38;2740
39;3094
40;3290
41;3487
42;3356
43;3225
44;2999
45;2774
46;2523
47;2272
48;2066
49;1861
50;1742
51;1623
52;1557
53;1491
54;1471
55;1451
56;1529
57;1607
58;1725
59;1844
60;2014
61;2184
62;2305
63;2426
64;2467
65;2508
66;2330
67;2152
68;1948
69;1744
70;1580
71;1417
72;1313
73;1210
74;1128
75;1046
76;1025
77;1005
78;1001
79;997
80;1020
81;1043
82;1101
83;1160
84;1213
85;1267
86;1414
87;1562
88;1718
89;1875
90;2016
91;2156
92;2170
93;2184
94;2132
95;2080
96;2014
97;1949
98;1862
99;1775
100;1704
101;1634
102;1612
103;1591
104;1593
105;1596
106;1557
107;1518
108;1585
109;1653
110;1737
111;1822
112;2034
113;2246
114;2505
115;2764
116;3093
117;3422
118;3535
119;3649
120;3583
121;3517
122;3336
123;3155
124;2885
125;2616
126;2414
127;2213
128;2068
129;1922
130;1786
131;1649
132;1606
133;1563
134;1556
135;1549
136;1549
137;1549
138;1646
139;1744
140;1840
141;1937
142;2057
143;2178
144;2380
145;2582
146;2640
147;2698
148;2655
149;2612
150;2440
151;2268
152;2108
153;1947
154;1784
155;1622
156;1531
157;1440
158;1320
159;1200
160;1163
161;1127
162;1083
163;1039
164;1032
165;1025
166;1027
167;1029
168;1043
169;1058
170;1069
171;1081
172;1148
173;1214
174;1306
175;1398
176;1477
177;1555
178;1679
179;1802
180;1907
181;2012
182;2087
183;2163
184;2196
185;2229
186;2188
187;2148
188;2090
189;2033
190;1951
191;1870
192;1818
193;1767
194;1726
195;1685
196;1640
197;1595
198;1592
199;1590
200;1551
201;1512
202;1526
203;1539
204;1532
205;1524
206;1555
207;1586
208;1676
209;1767
210;1850
211;1934
212;2105
213;2276
214;2476
215;2677
216;2912
217;3147
218;3283
219;3419
220;3532
221;3646
222;3611
223;3576
224;3437
225;3298
226;3161
227;3024
228;2872
229;2720
230;2529
231;2339
232;2231
233;2123
234;1985
235;1848
236;1781
237;1715
238;1632
239;1549
240;1503
241;1456
242;1443
243;1430
244;1453
245;1476
246;1490
247;1504
248;1534
249;1565
250;1616
251;1668
252;1763
253;1858
254;1934
255;2011
256;2107
257;2204
258;2321
259;2439
260;2546
261;2652
262;2640
263;2629
264;2631
265;2634
266;2552
267;2471
