MIN=0	0	0	0	0
MAX=50	10	10	10	70
SCALE=50	5	5	5	10
DEC=1	2	2	2	2
DEF="Time" t / s	"Voltage" U_A1 / V	"Voltage" U_B1 / V	"Anode" U_A / V	"Acceleration voltage" U_B / V
0	-0.07	0	-0.07	0
0.1	-0.07	0	-0.07	0
0.2	-0.075	0	-0.075	0
0.303	-0.075	0	-0.075	0
0.401	-0.075	0	-0.075	0
0.499	-0.07	0	-0.07	0
0.6	-0.07	0.05	-0.07	0.05
0.7	-0.07	0.05	-0.07	0.05
0.803	-0.07	0	-0.07	0
0.9	-0.07	0.05	-0.07	0.05
0.999	-0.07	0	-0.07	0
1.1	-0.07	0	-0.07	0
1.199	-0.075	0	-0.075	0
1.299	-0.07	0.05	-0.07	0.05
1.399	-0.07	0	-0.07	0
1.5	-0.07	0.05	-0.07	0.05
1.599	-0.07	0	-0.07	0
1.7	-0.07	0.05	-0.07	0.05
1.799	-0.065	0	-0.065	0
1.899	-0.065	0	-0.065	0
1.999	-0.07	0	-0.07	0
2.099	-0.07	0	-0.07	0
2.199	-0.07	0	-0.07	0
2.299	-0.06	0.05	-0.06	0.05
2.399	-0.07	0.25	-0.07	0.25
2.499	-0.07	0.4	-0.07	0.4
2.599	-0.07	0.55	-0.07	0.55
2.699	-0.065	0.7	-0.065	0.7
2.799	-0.07	0.95	-0.07	0.95
2.899	-0.065	1.05	-0.065	1.05
2.999	-0.07	1.25	-0.07	1.25
3.099	-0.065	1.4	-0.065	1.4
3.199	-0.065	1.6	-0.065	1.6
3.299	-0.07	1.75	-0.07	1.75
3.399	-0.07	1.9	-0.07	1.9
3.499	-0.075	2.1	-0.075	2.1
3.599	-0.07	2.25	-0.07	2.25
3.699	-0.07	2.45	-0.07	2.45
3.799	-0.07	2.6	-0.07	2.6
3.899	-0.075	2.8	-0.075	2.8
3.999	-0.07	2.95	-0.07	2.95
4.099	-0.075	3.1	-0.075	3.1
4.199	-0.075	3.3	-0.075	3.3
4.299	-0.075	3.45	-0.075	3.45
4.4	-0.07	3.6	-0.07	3.6
4.499	-0.075	3.8	-0.075	3.8
4.599	-0.065	3.95	-0.065	3.95
4.699	-0.075	4.1	-0.075	4.1
4.799	-0.065	4.3	-0.065	4.3
4.899	-0.075	4.5	-0.075	4.5
4.999	-0.065	4.6	-0.065	4.6
5.099	-0.075	4.8	-0.075	4.8
