MIN=0	0	0	0	0
MAX=50	10	10	10	70
SCALE=50	5	5	5	10
DEC=1	2	2	2	2
DEF="Time" t / s	"Voltage" U_A1 / V	"Voltage" U_B1 / V	"Anode" U_A / V	"Acceleration voltage" U_B / V
0	-0.08	0	-0.08	0
0.1	-0.075	0	-0.075	0
0.199	-0.08	0	-0.08	0
0.299	-0.075	0	-0.075	0
0.399	-0.08	0	-0.08	0
0.499	-0.075	0	-0.075	0
0.599	-0.08	0	-0.08	0
0.699	-0.075	0	-0.075	0
0.799	-0.08	0.2	-0.08	0.2
0.899	-0.08	0.35	-0.08	0.35
0.999	-0.08	0.55	-0.08	0.55
1.099	-0.085	0.7	-0.085	0.7
1.199	-0.08	0.9	-0.08	0.9
1.299	-0.08	1.05	-0.08	1.05
1.399	-0.08	1.2	-0.08	1.2
1.499	-0.08	1.4	-0.08	1.4
1.599	-0.08	1.55	-0.08	1.55
1.699	-0.08	1.75	-0.08	1.75
1.799	-0.08	1.9	-0.08	1.9
1.899	-0.085	2.05	-0.085	2.05
1.999	-0.08	2.25	-0.08	2.25
2.099	-0.085	2.4	-0.085	2.4
2.199	-0.08	2.55	-0.08	2.55
2.299	-0.08	2.75	-0.08	2.75
2.399	-0.08	2.9	-0.08	2.9
2.499	-0.085	3.1	-0.085	3.1
2.599	-0.08	3.25	-0.08	3.25
2.699	-0.085	3.4	-0.085	3.4
2.799	-0.08	3.55	-0.08	3.55
2.899	-0.08	3.75	-0.08	3.75
2.999	-0.08	3.9	-0.08	3.9
3.099	-0.08	4.1	-0.08	4.1
3.199	-0.075	4.25	-0.075	4.25
3.299	-0.085	4.4	-0.085	4.4
3.399	-0.075	4.55	-0.075	4.55
3.499	-0.08	4.75	-0.08	4.75
3.599	-0.075	4.9	-0.075	4.9
3.699	-0.075	5.1	-0.075	5.1
3.799	-0.07	5.25	-0.07	5.25
3.899	-0.07	5.45	-0.07	5.45
3.999	-0.065	5.6	-0.065	5.6
4.099	-0.06	5.8	-0.06	5.8
4.199	-0.05	5.95	-0.05	5.95
4.299	-0.045	6.1	-0.045	6.1
4.399	-0.035	6.25	-0.035	6.25
4.499	-0.03	6.45	-0.03	6.45
4.599	-0.015	6.6	-0.015	6.6
4.699	-0.005	6.8	-0.005	6.8
4.799	0	6.95	0	6.95
4.899	0.005	7.1	0.005	7.1
4.999	0.01	7.25	0.01	7.25
