MIN=0	0	0	0	0
MAX=50	10	10	10	70
SCALE=50	5	5	5	10
DEC=1	2	2	2	2
DEF="Time" t / s	"Voltage" U_A1 / V	"Voltage" U_B1 / V	"Anode" U_A / V	"Acceleration voltage" U_B / V
13.1	0.135	19.7	0.135	19.7
13.199	0.16	19.9	0.16	19.9
13.299	0.195	20.05	0.195	20.05
13.399	0.25	20.25	0.25	20.25
13.499	0.3	20.4	0.3	20.4
13.6	0.37	20.6	0.37	20.6
13.7	0.43	20.75	0.43	20.75
13.8	0.525	20.9	0.525	20.9
13.9	0.595	21.1	0.595	21.1
14	0.7	21.25	0.7	21.25
14.1	0.785	21.4	0.785	21.4
14.2	0.9	21.6	0.9	21.6
14.3	0.99	21.8	0.99	21.8
14.4	1.05	21.95	1.05	21.95
14.5	1.11	22.1	1.11	22.1
14.6	1.075	22.3	1.075	22.3
14.7	0.98	22.45	0.98	22.45
14.8	0.84	22.6	0.84	22.6
14.9	0.71	22.8	0.71	22.8
15	0.61	22.95	0.61	22.95
15.1	0.435	23.15	0.435	23.15
15.2	0.315	23.3	0.315	23.3
15.3	0.275	23.45	0.275	23.45
15.4	0.23	23.6	0.23	23.6
15.5	0.175	23.8	0.175	23.8
15.6	0.16	23.95	0.16	23.95
15.7	0.175	24.15	0.175	24.15
15.8	0.21	24.3	0.21	24.3
15.9	0.255	24.5	0.255	24.5
16	0.305	24.65	0.305	24.65
16.1	0.375	24.8	0.375	24.8
16.2	0.455	25	0.455	25
16.3	0.555	25.15	0.555	25.15
16.4	0.665	25.3	0.665	25.3
16.5	0.79	25.5	0.79	25.5
16.6	0.915	25.65	0.915	25.65
16.7	1.07	25.85	1.07	25.85
16.8	1.21	26	1.21	26
16.9	1.37	26.2	1.37	26.2
16.999	1.52	26.35	1.52	26.35
17.1	1.67	26.5	1.67	26.5
17.2	1.73	26.65	1.73	26.65
17.3	1.735	26.85	1.735	26.85
17.4	1.745	27	1.745	27
17.5	1.59	27.2	1.59	27.2
17.6	1.45	27.35	1.45	27.35
17.7	1.24	27.5	1.24	27.5
17.8	1.035	27.7	1.035	27.7
17.9	0.86	27.85	0.86	27.85
18	0.68	28	0.68	28
18.1	0.57	28.2	0.57	28.2
18.2	0.49	28.35	0.49	28.35
18.3	0.405	28.55	0.405	28.55
18.4	0.345	28.7	0.345	28.7
18.5	0.34	28.85	0.34	28.85
18.6	0.345	29.05	0.345	29.05
18.7	0.41	29.2	0.41	29.2
18.8	0.47	29.35	0.47	29.35
18.9	0.56	29.55	0.56	29.55
19	0.675	29.7	0.675	29.7
19.1	0.82	29.85	0.82	29.85
19.2	0.95	30.05	0.95	30.05
19.3	1.15	30.2	1.15	30.2
19.4	1.35	30.4	1.35	30.4
19.5	1.545	30.55	1.545	30.55
19.6	1.775	30.75	1.775	30.75
19.7	2	30.9	2	30.9
19.8	2.265	31.05	2.265	31.05
19.9	2.47	31.25	2.47	31.25
20	2.63	31.4	2.63	31.4
20.1	2.82	31.6	2.82	31.6
20.2	2.84	31.75	2.84	31.75
20.3	2.39	31.9	2.39	31.9
20.4	2.275	32.1	2.275	32.1
20.5	1.98	32.25	1.98	32.25
20.6	1.685	32.45	1.685	32.45
20.7	1.345	32.6	1.345	32.6
20.8	1.11	32.75	1.11	32.75
20.9	0.93	32.95	0.93	32.95
21	0.725	33.1	0.725	33.1
21.1	0.605	33.25	0.605	33.25
21.2	0.52	33.45	0.52	33.45
21.3	0.49	33.65	0.49	33.65
21.4	0.49	33.8	0.49	33.8
