U_ext, U_I
-2.81, -16e-3
-2.77, -15e-3
-2.47, -14e-3
-1.95, -14.3e-3
-1.73, -13.2e-3
-1.48, -10e-3
-1.38, -7e-3
-1.29, 3.3e-3
-1.18, 50e-3
-1.08, 136e-3
-1.03, 205e-3
-0.94, 348e-3
-0.90, 0.43
-0.83, 0.59
-0.75, 0.77
-0.64, 1.09
-0.58, 1.29
-0.47, 1.67
-0.38, 2.08
-292e-3, 2.47
-150e-3, 3.17
-213e-3, 2.85
-127e-3, 3.3
-51e-3, 3.7
-5e-3, 3.9
