U_ext, U_I
-2.81, -16e-3
-1.92, -15e-3
-1.02, 70e-3
-1.23, -9e-3
-1.11, 9e-3
-0.99, 110e-3
-0.95, 203e-3
-0.86, 0.40
-0.81, 0.59
-0.72, 0.97
-0.70, 1.04
-0.62, 1.45
-0.57, 1.72
-0.47, 2.40
-360e-3, 3.27
-305e-3, 3.78
-252e-3, 4.21
-127e-3, 5.49
-67e-3, 6.23
-17e-3, 6.72
-0.7e-3, 6.90
