U_ext, U_I
-2.81, -14e-3
-2.1, -14e-3
-1.36, -6e-3
-1.26, 11e-3
-1.19, 37e-3
-1.14, 75e-3
-1.05, 170e-3
-0.95, 310e-3
-0.88, 0.45
-0.82, 0.57
-0.73, 0.80
-0.68, 0.94
-0.59, 1.22
-0.44, 1.77
-300e-3, 2.34
-164e-3, 3.00
-66e-3, 3.5
-15e-3, 3.8
-0.8e-3, 3.87

