U_ext, U_I
-2.81, -24.5e-3
-2.31, -21.5e-3
-2.02, -18.5e-3
-1.80, -14.0e-3
-1.73, -9.0e-3
-1.61, 23.5e-3
-1.56, 58.5e-3
-1.46, 170.5e-3
-1.37, 345.5e-3
-1.28, 0.556
-1.23, 0.702
-1.15, 0.949
-1.09, 1.17
-1.02, 1.424
-0.98, 1.61
-0.80, 2.45
-0.71, 3.00
-0.68, 3.18
-0.56, 3.95
-0.43, 4.93
-386e-3, 5.33
-286e-3, 6.23
-196e-3, 7.1
-133e-3, 7.69
-75e-3, 8.31
-37e-3, 8.68
-11e-3, 8.94
-3.7e-3, 9.02
-0.6e-3, 9.4
