U_ext, U_I
-2.81, -13e-3
-2.29, -13e-3
-1.55, -13e-3
-0.73, -12e-3
-0.64, -8e-3
-0.58, 9e-3
-0.52, 65e-3
-0.51, 87e-3
-0.47, 179e-3
-0.44, 248e-3
-0.42, 339e-3
-0.36, 0.62
-283e-3, 1.16
-245e-3, 1.48
-184e-3, 2.05
-111e-3, 2.8
-88e-3, 3.16
-33e-3, 3.8
-14e-3, 4.1
-1.0e-3, 4.2

