U_ext, U_I
-2.81, -13e-3
-2.48, -13e-3
-1.86, -13e-3
-0.98, -12e-3
-0.54, -11e-3
-0.44, 3e-3
-373e-3, 46e-3
-290e-3, 171e-3
-220e-3, 360e-3
-172e-3, 0.537
-108e-3, 0.84
-53e-3, 1.14
-29e-3, 1.29
-12e-3, 1.4
-5.5e-3, 1.41
-1.2e-3, 1.5
