U_ext, U_I
-2.81, -16.7e-3
-2.71, -16.6e-3
-2.56, -16.4e-3
-2.4, -15.9e-3
-2.14, -14.1e-3
-1.97, -11.4e-3
-1.88, -10.0e-3
-1.70, 0.5e-3
-1.64, 13.2e-3
-1.58, 42e-3
-1.52, 92.5e-3
-1.46, 164e-3
-1.40, 253e-3
-1.36, 350.5e-3
-1.31, 0.46
-1.29, 0.519
-1.25, 0.634
-1.15, 0.96
-1.01, 1.48
-0.87, 2.21
-0.75, 2.67
-0.67, 3.41
-0.6, 3.92
-0.5, 4.63
-0.45, 5.13
-0.36, 5.9
-301e-3, 6.47
-248e-3, 6.98
-221e-3, 7.21
-171e-3, 7.70
-128e-3, 8.20
-87e-3, 8.64
-19.6e-3, 9.4
-0.6e-3, 9.56
