U_ext, U_I
-2.81, -13e-3
-1.84, -13e-3
-1.08, -13e-3
-0.67, -11e-3
-0.61, -0.5e-3
-0.57, 14e-3
-0.51, 86e-3
-0.44, 246e-3
-0.41, 373e-3
-0.38, 0.52
-366e-3, 0.61
-296e-3, 1.06
-204e-3, 1.84
-145e-3, 2.43
-97e-3, 2.99
-55e-3, 3.53
-24e-3, 3.95
-7e-3, 4.17
