U_ext, U_I
-2.81, -13e-3
-1.72, -12e-3
-0.68, -12e-3
-0.48, -6e-3
-0.42, 12e-3
-0.39, 32e-3
-321e-3, 111e-3
-253e-3, 252e-3
-215e-3, 367e-3
-169e-3, 0.52
-125e-3, 0.72
-88e-3, 0.89
-38e-3, 1.18
-19e-3, 1.3
-6e-3, 1.46
-0.6e-3, 1.5
