U_ext, U_I
-2.81, -15e-3
-2.69, -15e-3
-2.36, -14e-3
-2.08, -15e-3
-1.38, -13e-3
-1.10, 35e-3
-1.01, 73e-3
-0.96, 148e-3
-0.90, 292e-3
-0.96, 0.4
-0.8, 0.60
-0.71, 0.98
-0.66, 1.25
-0.52, 2.09
-0.45, 2.50
-0.37, 3.15
-317e-3, 3.6
-257e-3, 4.15
-201e-3, 4.70
-150e-3, 5.13
-99e-3, 5.66
-37e-3, 6.34
-14e-3, 6.7
-4e-3, 6.8
-0.6e-3, 6.9
