"Δx [pm]","Δy [pm]","φ [deg]","R [pm]","Δz [pA]"
"-1169,61959707","-399,74340659","161,13100054","1236,04400932","-0,66235805"
"-1199,23021978","-392,34075092","161,88394833","1261,77826295","13,40709489"
"969,74789377","-799,48681319","39,50310749","1256,81746564","-9,34737451"
"962,34523810","-814,29212454","40,23635831","1260,62683669","-0,11869653"
"999,35851648","-821,69478022","39,42780220","1293,79277951","5,98481909"
"-1184,42490842","-421,95137363","160,39155873","1257,34057654","-59,76168807"
