Datei ID&Ordnung&$\mu / \unit{\meter}$&$\sigma$&$A$&$I / \unit{\ampere}$&$B / \unit{	esla}\\
\hline05 X&7&-0.0062454(10)&3.47(19)e-05&1745(76)&-5.23&-0.4375(17)\\
10 X&3&-0.00400680(97)&4.97(13)e-05&2626(64)&-5.19&-0.4349(17)\\
10 X&3&-0.00383206(86)&4.24(14)e-05&2622(60)&-5.19&-0.4349(17)\\
10 X&2&-0.0034666(14)&5.43(21)e-05&2275(63)&-5.19&-0.4349(17)\\
10 X&2&-0.0032601(12)&6.16(15)e-05&2637(67)&-5.19&-0.4349(17)\\
10 X&2&-0.0030435(10)&5.35(17)e-05&2654(62)&-5.19&-0.4349(17)\\
10 X&1&-0.0025634(20)&7.22(28)e-05&2298(60)&-5.19&-0.4349(17)\\
10 X&1&-0.0022793(16)&8.42(20)e-05&2722(62)&-5.19&-0.4349(17)\\
10 X&1&-0.0019520(14)&7.94(24)e-05&2771(58)&-5.19&-0.4349(17)\\
10 X&1&0.0019356(13)&8.20(20)e-05&2744(43)&-5.19&-0.4349(17)\\
10 X&1&0.0022602(14)&8.64(18)e-05&2699(46)&-5.19&-0.4349(17)\\
10 X&1&0.0025473(18)&7.61(24)e-05&2312(44)&-5.19&-0.4349(17)\\
10 X&2&0.0030254(10)&5.20(16)e-05&2718(57)&-5.19&-0.4349(17)\\
10 X&2&0.0032436(12)&6.29(16)e-05&2617(61)&-5.19&-0.4349(17)\\
10 X&2&0.0034495(15)&5.40(21)e-05&2298(57)&-5.19&-0.4349(17)\\
10 X&3&0.00381536(84)&4.50(13)e-05&2603(50)&-5.19&-0.4349(17)\\
10 X&3&0.0039885(10)&5.11(13)e-05&2560(54)&-5.19&-0.4349(17)\\
10 X&3&0.0041569(13)&5.05(19)e-05&2228(51)&-5.19&-0.4349(17)\\
10 X&4&0.00446795(66)&3.69(10)e-05&2554(47)&-5.19&-0.4349(17)\\
10 X&4&0.00461633(80)&4.59(11)e-05&2519(51)&-5.19&-0.4349(17)\\
10 X&4&0.0047640(10)&4.17(15)e-05&2192(48)&-5.19&-0.4349(17)\\
10 X&5&0.00503260(75)&3.61(12)e-05&2421(60)&-5.19&-0.4349(17)\\
10 X&5&0.00516669(86)&4.45(13)e-05&2380(64)&-5.19&-0.4349(17)\\
10 X&5&0.0052992(10)&3.80(16)e-05&2109(61)&-5.19&-0.4349(17)\\
10 X&6&0.00554007(54)&3.121(80)e-05&2375(36)&-5.19&-0.4349(17)\\
10 X&6&0.00566196(69)&4.13(10)e-05&2374(39)&-5.19&-0.4349(17)\\
10 X&6&0.00578278(88)&3.61(12)e-05&2063(37)&-5.19&-0.4349(17)\\
10 Y&2&-0.0034650(12)&5.66(20)e-05&2298(67)&-5.19&-0.4349(17)\\
10 Y&2&-0.00325844(96)&6.35(13)e-05&2677(71)&-5.19&-0.4349(17)\\
10 Y&2&-0.00303788(90)&5.79(17)e-05&2650(66)&-5.19&-0.4349(17)\\
10 Y&1&-0.0025612(16)&7.35(24)e-05&2308(56)&-5.19&-0.4349(17)\\
10 Y&1&-0.0022746(13)&8.65(17)e-05&2708(59)&-5.19&-0.4349(17)\\
10 Y&1&-0.0019466(12)&8.52(22)e-05&2755(54)&-5.19&-0.4349(17)\\
10 Y&1&0.0019335(11)&8.36(18)e-05&2633(40)&-5.19&-0.4349(17)\\
10 Y&1&0.0022592(13)&9.37(18)e-05&2486(43)&-5.19&-0.4349(17)\\
10 Y&1&0.0025486(15)&7.06(20)e-05&2224(41)&-5.19&-0.4349(17)\\
10 Y&2&0.0030211(11)&6.79(18)e-05&2410(46)&-5.19&-0.4349(17)\\
10 Y&2&0.0032441(10)&6.73(15)e-05&2439(49)&-5.19&-0.4349(17)\\
10 Y&2&0.0034464(11)&5.51(18)e-05&2164(47)&-5.19&-0.4349(17)\\
11 X&7&-0.00612626(52)&3.269(64)e-05&3068(38)&-5.2&-0.4355(17)\\
11 X&6&-0.00567087(60)&3.362(72)e-05&3148(43)&-5.2&-0.4355(17)\\
11 X&5&-0.00517508(64)&3.540(76)e-05&3332(46)&-5.2&-0.4355(17)\\
11 X&4&-0.00462492(74)&3.914(86)e-05&3455(50)&-5.2&-0.4355(17)\\
11 X&3&-0.00399891(69)&4.423(81)e-05&3502(41)&-5.2&-0.4355(17)\\
11 X&2&-0.00325240(69)&5.293(80)e-05&3619(36)&-5.2&-0.4355(17)\\
11 X&1&-0.00226956(96)&7.49(11)e-05&3712(36)&-5.2&-0.4355(17)\\
11 X&1&0.0022620(10)&7.81(11)e-05&3635(35)&-5.2&-0.4355(17)\\
11 X&2&0.003082(14)&5.1(1.4)e-05&1028(38)&-5.2&-0.4355(17)\\
11 X&2&0.00324708(96)&5.43(10)e-05&3581(37)&-5.2&-0.4355(17)\\
11 X&3&0.00399248(71)&4.587(82)e-05&3383(39)&-5.2&-0.4355(17)\\
11 X&4&0.00461968(52)&4.098(61)e-05&3287(31)&-5.2&-0.4355(17)\\
11 X&5&0.00516917(26)&3.541(64)e-05&-0.0(3.1)e+08&-5.2&-0.4355(17)\\
11 X&5&0.0051664(22)&-0.0(2.0)&0.0(4.4)e+08&-5.2&-0.4355(17)\\
11 X&6&0.00566688(55)&3.650(67)e-05&3024(35)&-5.2&-0.4355(17)\\
11 Y&2&-0.00326162(79)&5.461(92)e-05&3567(39)&-5.2&-0.4355(17)\\
11 Y&1&-0.0022753(11)&7.58(12)e-05&3601(38)&-5.2&-0.4355(17)\\
11 Y&1&0.0022460(10)&7.88(12)e-05&3324(32)&-5.2&-0.4355(17)\\
11 Y&2&0.0032268(13)&6.12(16)e-05&3064(49)&-5.2&-0.4355(17)\\
12 X&7&-0.0061235(13)&7.68(47)e-05&3.20(23)e+03&-3.02&-0.2708(11)\\
12 X&6&-0.0056678(13)&8.70(62)e-05&3.21(32)e+03&-3.02&-0.2708(11)\\
12 X&5&-0.0051710(17)&9.57(83)e-05&3.27(41)e+03&-3.02&-0.2708(11)\\
12 X&4&-0.0046272(34)&8.50(69)e-05&3.35(19)e+03&-3.02&-0.2708(11)\\
12 X&4&-0.0045273(40)&1.98(60)e-05&1.22(20)e+03&-3.02&-0.2708(11)\\
12 X&3&0.00213786306462984(inf)&-0.00016240621866084256(inf)&3.1229883372918947(inf)e+05&-3.02&-0.2708(11)\\
12 X&3&-0.0019491335371225865(inf)&-0.00018430380245276326(inf)&-3.214866464852339(inf)e+05&-3.02&-0.2708(11)\\
12 X&2&-0.0032586(48)&0.0001156(85)&3.47(16)e+03&-3.02&-0.2708(11)\\
12 X&2&-0.0031145(42)&2.93(64)e-05&1.50(19)e+03&-3.02&-0.2708(11)\\
12 X&1&-0.0022776(61)&0.0001541(90)&3.59(11)e+03&-3.02&-0.2708(11)\\
12 X&1&-0.0020645(54)&4.53(79)e-05&1.66(15)e+03&-3.02&-0.2708(11)\\
12 X&1&0.0020552(55)&5.01(81)e-05&1.69(15)e+03&-3.02&-0.2708(11)\\
12 X&1&0.0022724(64)&0.0001554(89)&3610(99)&-3.02&-0.2708(11)\\
12 X&2&0.0032418(22)&0.0001422(75)&3.52(21)e+03&-3.02&-0.2708(11)\\
12 X&3&0.0039910(17)&0.0001213(72)&3.41(26)e+03&-3.02&-0.2708(11)\\
12 X&4&0.0046185(15)&0.0001071(63)&3.31(25)e+03&-3.02&-0.2708(11)\\
12 X&5&0.0051682(13)&9.06(44)e-05&3.25(18)e+03&-3.02&-0.2708(11)\\
12 X&6&0.0056658(10)&8.56(41)e-05&3.25(19)e+03&-3.02&-0.2708(11)\\
12 Y&2&-0.0032257(25)&0.0001434(85)&3.48(24)e+03&-3.02&-0.2708(11)\\
12 Y&1&-0.0022580(62)&0.000172(11)&3.59(13)e+03&-3.02&-0.2708(11)\\
12 Y&1&-0.0020408(63)&4.60(99)e-05&1.40(17)e+03&-3.02&-0.2708(11)\\
12 Y&1&0.001836(52)&3.5(3.8)e-05&0.6(4.6)e+02&-3.02&-0.2708(11)\\
12 Y&1&0.0022508(28)&0.000236(20)&3.60(58)e+03&-3.02&-0.2708(11)\\
12 Y&2&0.0031160(77)&3.1(1.1)e-05&9.8(1.7)e+02&-3.02&-0.2708(11)\\
12 Y&2&0.0032490(40)&0.0001316(86)&3.28(18)e+03&-3.02&-0.2708(11)\\
13 X&7&-0.0061174(14)&0.00025(23)&0.2(2.4)e+04&-3.5&-0.3102(12)\\
13 X&7&-0.0061245(30)&1.42(39)e-05&-0.7(1.7)e+04&-3.5&-0.3102(12)\\
13 X&6&-0.0009762670565277849(inf)&-1.8822909560489143(inf)e-05&1.2994005051335762(inf)e+05&-3.5&-0.3102(12)\\
13 X&6&-0.005077518416649595(inf)&-1.9349787087910166(inf)e-05&-9.544897278937711(inf)e+04&-3.5&-0.3102(12)\\
13 X&5&-0.0051668(17)&0.00031(33)&0.2(3.2)e+04&-3.5&-0.3102(12)\\
13 X&5&-0.0051736(23)&-1.60(29)e-05&-0.8(2.2)e+04&-3.5&-0.3102(12)\\
13 X&4&-0.00467(22)&0.00004(37)&0.0(2.9)e+09&-3.5&-0.3102(12)\\
13 X&4&-0.00467(22)&0.00004(37)&-0.0(2.9)e+09&-3.5&-0.3102(12)\\
13 X&4&-0.0045224(17)&3.96(11)e-05&2150(40)&-3.5&-0.3102(12)\\
13 X&3&-0.0040029(57)&9.8(1.1)e-05&2.71(18)e+03&-3.5&-0.3102(12)\\
