Messung&Maximum&µ / $\unit{\volt}$&A / $\unit{\volt}$&$\sigma / \unit{\volt}\\
\hline
6&5.0&$ \num{40.9(5.9)}$&$ \num{0.3(1.5)e+03}$&$ \num{1.81(88)}$\\
7&0.0&$ \num{11.685031440993075(0)}$&$ \num{0.11590910937954296(0)}$&$ \num{0.45321531941492277(0)}$\\
7&1.0&$ \num{16.456129544848505(0)}$&$ \num{0.4873438025409994(0)}$&$ \num{-0.6001015816372581(0)}$\\
7&2.0&$ \num{21.32570096302897(0)}$&$ \num{1.032977769534522(0)}$&$ \num{0.6777279076882835(0)}$\\
7&3.0&$ \num{26.263344118897233(0)}$&$ \num{1.7659892013997651(0)}$&$ \num{0.7564302765262318(0)}$\\
7&4.0&$ \num{31.281634980468937(0)}$&$ \num{2.7027474922076737(0)}$&$ \num{0.8375786601006977(0)}$\\
7&5.0&$ \num{51.38879400952611(0)}$&$ \num{1.0543592112320415(0)e+07}$&$ \num{2.9055657032028845(0)}$\\
8&0.0&$ \num{11.69(15)}$&$ \num{0.090(30)}$&$ \num{0.40(16)}$\\
8&1.0&$ \num{16.487(44)}$&$ \num{0.376(24)}$&$ \num{-0.568(43)}$\\
8&2.0&$ \num{21.348(21)}$&$ \num{0.823(23)}$&$ \num{-0.647(21)}$\\
8&3.0&$ \num{26.299(13)}$&$ \num{1.409(22)}$&$ \num{0.731(13)}$\\
8&4.0&$ \num{31.3220(91)}$&$ \num{2.167(20)}$&$ \num{0.8250(90)}$\\
8&5.0&$ \num{36.7(1.1)}$&$ \num{5.2(6.2)}$&$ \num{0.92(29)}$\\
9&0.0&$ \num{11.728424495778334(0)}$&$ \num{0.08421430969133657(0)}$&$ \num{0.4130741117319185(0)}$\\
9&1.0&$ \num{16.476043473073215(0)}$&$ \num{0.37229604440721575(0)}$&$ \num{-0.5593599868262725(0)}$\\
9&2.0&$ \num{21.35343865996767(0)}$&$ \num{0.809190821340161(0)}$&$ \num{-0.6469160690822284(0)}$\\
9&3.0&$ \num{26.298536605822036(0)}$&$ \num{1.4003602692348747(0)}$&$ \num{0.7203337590270406(0)}$\\
9&4.0&$ \num{31.3361413144348(0)}$&$ \num{2.13877480554847(0)}$&$ \num{0.8178603055472414(0)}$\\
9&5.0&$ \num{51.65750189972226(0)}$&$ \num{1.4924486697277404(0)e+08}$&$ \num{2.7021404360462653(0)}$\\
10&0.0&$ \num{11.504(90)}$&$ \num{0.419(39)}$&$ \num{0.833(90)}$\\
10&1.0&$ \num{16.177(31)}$&$ \num{1.231(39)}$&$ \num{0.856(31)}$\\
10&2.0&$ \num{20.996(16)}$&$ \num{2.469(38)}$&$ \num{0.895(16)}$\\
10&3.0&$ \num{25.9058(98)}$&$ \num{4.151(36)}$&$ \num{0.9627(98)}$\\
10&4.0&$ \num{30.8787(72)}$&$ \num{6.407(36)}$&$ \num{1.0113(79)}$\\
10&5.0&$ \num{35.83(29)}$&$ \num{7.6(1.1)}$&$ \num{1.18(11)}$\\
11&0.0&$ \num{11.963(95)}$&$ \num{0.283(30)}$&$ \num{0.751(93)}$\\
11&1.0&$ \num{16.619(31)}$&$ \num{0.877(29)}$&$ \num{0.816(32)}$\\
11&2.0&$ \num{21.408(15)}$&$ \num{1.864(29)}$&$ \num{0.844(15)}$\\
11&3.0&$ \num{26.2570(97)}$&$ \num{3.038(28)}$&$ \num{0.9109(97)}$\\
11&4.0&$ \num{31.1939(70)}$&$ \num{4.632(28)}$&$ \num{0.9638(75)}$\\
11&5.0&$ \num{36.62(35)}$&$ \num{7.2(1.4)}$&$ \num{1.28(12)}$\\
12&0.0&$ \num{7.71(40)}$&$ \num{0.056(51)}$&$ \num{-0.39(40)}$\\
12&1.0&$ \num{11.992(93)}$&$ \num{0.343(35)}$&$ \num{0.774(92)}$\\
12&2.0&$ \num{16.654(33)}$&$ \num{1.005(34)}$&$ \num{0.854(33)}$\\
12&3.0&$ \num{21.460(16)}$&$ \num{2.148(33)}$&$ \num{0.875(16)}$\\
12&4.0&$ \num{26.310(10)}$&$ \num{3.446(32)}$&$ \num{0.929(10)}$\\
12&5.0&$ \num{31.2861(74)}$&$ \num{5.267(32)}$&$ \num{0.9938(80)}$\\
12&6.0&$ \num{36.35(29)}$&$ \num{6.7(1.0)}$&$ \num{1.18(11)}$\\
13&0.0&$ \num{12.00(10)}$&$ \num{0.345(39)}$&$ \num{0.76(10)}$\\
13&1.0&$ \num{16.661(35)}$&$ \num{1.038(38)}$&$ \num{0.823(35)}$\\
13&2.0&$ \num{21.546(17)}$&$ \num{2.173(36)}$&$ \num{0.905(17)}$\\
13&3.0&$ \num{26.533(10)}$&$ \num{3.875(35)}$&$ \num{0.985(10)}$\\
13&4.0&$ \num{31.4237(73)}$&$ \num{5.729(35)}$&$ \num{1.0057(79)}$\\
13&5.0&$ \num{35.82(16)}$&$ \num{5.10(39)}$&$ \num{0.940(72)}$\\
14&0.0&$ \num{11.639(67)}$&$ \num{0.241(21)}$&$ \num{0.674(69)}$\\
14&1.0&$ \num{16.323(23)}$&$ \num{0.745(20)}$&$ \num{0.757(23)}$\\
14&2.0&$ \num{21.133(12)}$&$ \num{1.523(19)}$&$ \num{0.800(12)}$\\
14&3.0&$ \num{26.0206(72)}$&$ \num{2.554(19)}$&$ \num{0.8501(71)}$\\
14&4.0&$ \num{30.9763(51)}$&$ \num{3.854(18)}$&$ \num{0.9119(52)}$\\
14&5.0&$ \num{36.87(27)}$&$ \num{8.6(1.3)}$&$ \num{1.323(82)}$\\
15&0.0&$ \num{11.718(81)}$&$ \num{0.208(22)}$&$ \num{-0.670(82)}$\\
15&1.0&$ \num{16.335(27)}$&$ \num{0.667(21)}$&$ \num{0.750(27)}$\\
15&2.0&$ \num{21.133(13)}$&$ \num{1.403(20)}$&$ \num{0.796(13)}$\\
15&3.0&$ \num{26.0041(79)}$&$ \num{2.390(19)}$&$ \num{0.8442(80)}$\\
15&4.0&$ \num{30.9654(56)}$&$ \num{3.607(19)}$&$ \num{0.9118(58)}$\\
15&5.0&$ \num{36.54(21)}$&$ \num{6.70(80)}$&$ \num{1.224(71)}$\\
16&0.0&$ \num{11.77(10)}$&$ \num{0.158(21)}$&$ \num{-0.66(10)}$\\
16&1.0&$ \num{16.384(32)}$&$ \num{0.532(19)}$&$ \num{0.757(32)}$\\
16&2.0&$ \num{21.161(16)}$&$ \num{1.118(19)}$&$ \num{0.795(15)}$\\
16&3.0&$ \num{26.0278(94)}$&$ \num{1.909(19)}$&$ \num{0.8338(94)}$\\
16&4.0&$ \num{30.9109(64)}$&$ \num{2.878(18)}$&$ \num{0.8812(67)}$\\
16&5.0&$ \num{36.45(22)}$&$ \num{5.19(65)}$&$ \num{1.192(77)}$\\
17&0.0&$ \num{11.83(11)}$&$ \num{0.139(21)}$&$ \num{-0.64(11)}$\\
17&1.0&$ \num{16.424(33)}$&$ \num{0.482(19)}$&$ \num{0.745(34)}$\\
17&2.0&$ \num{21.161(17)}$&$ \num{1.019(18)}$&$ \num{0.791(16)}$\\
17&3.0&$ \num{25.9996(98)}$&$ \num{1.749(18)}$&$ \num{0.8274(98)}$\\
17&4.0&$ \num{30.9028(67)}$&$ \num{2.646(17)}$&$ \num{0.8796(69)}$\\
17&5.0&$ \num{36.31(19)}$&$ \num{4.50(48)}$&$ \num{1.138(70)}$\\
18&0.0&$ \num{11.87(13)}$&$ \num{0.105(20)}$&$ \num{-0.59(13)}$\\
18&1.0&$ \num{16.494(37)}$&$ \num{0.395(17)}$&$ \num{0.738(38)}$\\
18&2.0&$ \num{21.201(17)}$&$ \num{0.860(17)}$&$ \num{0.779(18)}$\\
18&3.0&$ \num{26.012(11)}$&$ \num{1.479(16)}$&$ \num{0.823(10)}$\\
18&4.0&$ \num{30.8763(70)}$&$ \num{2.268(16)}$&$ \num{0.8642(72)}$\\
18&5.0&$ \num{36.07(15)}$&$ \num{3.35(26)}$&$ \num{1.064(60)}$\\
19&0.0&$ \num{11.95(16)}$&$ \num{0.081(21)}$&$ \num{-0.56(17)}$\\
19&1.0&$ \num{16.494(44)}$&$ \num{0.344(18)}$&$ \num{0.726(45)}$\\
19&2.0&$ \num{21.217(20)}$&$ \num{0.762(18)}$&$ \num{0.776(21)}$\\
19&3.0&$ \num{26.031(12)}$&$ \num{1.324(17)}$&$ \num{0.812(12)}$\\
19&4.0&$ \num{30.8870(81)}$&$ \num{2.038(17)}$&$ \num{0.8556(82)}$\\
19&5.0&$ \num{35.93(14)}$&$ \num{2.93(21)}$&$ \num{0.998(60)}$\\
\hline
